File_Name,Name,Grade,Subject,Desc_1,Desc_2,Source_url,
How to Teach Creative Writing - wikiHow,How to Teach Creative Writing,"6, 7, 8, 9, 10, 11, 12",English,"Creative writing is one of the most enjoyable types of writing for students. Not only does it allow students to explore their imaginations, but it helps them to structure their ideas and produce writing that they can be proud of. However, creative writing is a relatively difficult type of writing to teach and offers challenges to both new and seasoned teachers alike. Fortunately, though, with some work of their own, teachers can better develop their own abilities to teach creative writing.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Creative-Writing,
How to Teach Essay Writing - wikiHow,How to Teach Essay Writing,"9, 10, 11, 12",English,"Teaching students how to write an essay is a big undertaking, but this is a crucial process for any high school or college student to learn. Start by assigning essays to read and then encourage students to choose an essay topic of their own. Spend class time helping students understand what makes a good essay. Then, use your assignments to guide students through writing their essays.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Essay-Writing,
How to Teach Handwriting - wikiHow,How to Teach Handwriting,"1, 2",English,"With ever more popular computers, smartphones, and tablets, teaching handwriting has fallen out of fashion. However, handwriting is an important skill to have for taking notes, taking tests, writing formal letters, and doing work that cannot be done on a computer. Therefore, it is important to teach students how to form letters correctly, create letters and words that are uniform in size and spacing, and to also make sure that all letters slant uniformly.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Handwriting,
How to Teach Narrative Writing - wikiHow,How to Teach Narrative Writing,"6, 7, 8, 9, 10, 11, 12",English,"Narrative writing is fun to teach, but it can also be a challenge! Whether you need to teach college or grade school students, there are lots of great options for lessons. Start by getting your students familiar with the genre, then use in-class activities to help them practice creating their own narratives. Once your students understand how narratives work, assign a narrative essay for students to demonstrate and hone their skills.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Narrative-Writing,
How to Teach Paragraph Writing - wikiHow,How to Teach Paragraph Writing,"6, 7, 8, 9, 10, 11, 12",English,"It?'s important for students of all ages?'from grade school through college?'to be able to write a successful paragraph. As an instructor, you can help students write strong, effective paragraphs by showing them models of good writing. Try teaching paragraphs holistically; instead of giving students a checklist of requirements that will produce a successful paragraph, remind them that a successful paragraph should present and develop 1 idea without digressions or tangents.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Paragraph-Writing,
How to Teach Persuasive Writing - wikiHow,How to Teach Persuasive Writing,"9, 10, 11, 12",English,"There are many ways to teach persuasive writing, and utilizing more than one approach can be good for your students. Not all students learn the same way, so demonstrating by example how to write persuasively might reach some of your students. Carefully explaining written assignments or setting up in-class debates and then letting your students learn by doing are methods for teaching persuasive writing that might reach different learners in your class. And reviewing your students' work and giving them plenty of feedback can also be an effective way to teach persuasive writing.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Persuasive-Writing,
How to Teach Spelling - wikiHow,How to Teach Spelling,"1, 2, 3",English,"Whether you are teaching a single student or are managing an entire class, teaching to spell is a big task. Fortunately, there are many different ways you can instruct students on how to spell. The most common way to teach beginners is to show them how to spell a word based on its sounds (known as phonics). You can also teach them how to recognize patterns in a word. This is known as word study. Games and tests can reinforce their lessons. Of course, some words will just need to be memorized, and you may need to adjust your lesson to the individual needs of each student.
","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Spelling,
How to Improve Mental Math Skills - wikiHow,How to Improve Mental Math Skills,All,Math,"Eventually, you'll find yourself in a situation where you'll have to solve a math problem without a calculator. Even if you're good at math, mental math can be difficult. To solve problems in your head, you'll need an entirely new set of strategies and methods that differ from what you were taught in school. Luckily, if you study the basics and use mental math strategies, you can improve your skills and solve complex calculations in your head.","To explore more on this article, use the following link:",https://www.wikihow.com/Improve-Mental-Math-Skills,
How to Teach English to Small Children - wikiHow,How to Teach English to Small Children,"1, 2",English,"When you're teaching English to preschoolers, you have to introduce things slowly, simply, and in ways that are engaging and fun. If you?'re a parent at home, model the use of English by narrating your activities, reading picture books, and singing songs. As a classroom teacher, meet the students?' unique learning abilities by using a wide range of games and activities. Whether you're teaching a classroom full of kids or instructing your own child at home, make sure to introduce English vocabulary logically and in context, and offer lots of encouragement and praise!","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-English-to-Small-Children,
How to Teach Critical Thinking - wikiHow,How to Teach Critical Thinking,All,Critical Thinking,"If you want to teach your students critical thinking, give them opportunities to brainstorm and analyze things. Classroom discussions are a great way to encourage open-mindedness and creativity. Teach students to ask ""why?"" as much as possible and recognize patterns. An important part of critical thinking is also recognizing good and bad sources of information.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Critical-Thinking,
How to Teach Time Management - wikiHow,How to Teach Time Management,All,Pedagogy,"Since time management involves a broad range of skills, teaching someone how to manage their time can be complicated. Break it down into basic principles, such as developing schedules, setting priorities, and staying organized. Time management is a valuable skill at any stage in life, so tailor your lesson to your audience. Whether you?'re teaching a younger child, student, or professional, provide tips, tricks, and examples that suit their specific needs.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Time-Management,
Annotated Educational Objectives - wikiHow,Annotated Educational Objectives,All,Pedagogy,"An educational objective is an important tool for teaching. It allows you to articulate your expectations for your students, which can inform you as you write lesson plans, test, quizzes, and assignment sheets. There is a specific formula that goes into writing educational objectives. Learning to master that formula can help you write excellent educational objectives for you and your students.","To explore more on this article, use the following link:",https://www.wikihow.com/Write-an-Educational-Objective,
Fun and Engaging Books to Read - wikiHow,Fun and Engaging Books to Read,All,Pedagogy,"If you're having trouble getting interested in a new book, there are lots of ways you can help motivate yourself to love reading. If you're given the choice, it's important to choose books about topics or genres that you're interested in. Read in a distraction-free environment and talk to others about the book to help you get excited about reading it. By dedicating time each day specifically for reading, you'll be done with your book in no time.","To explore more on this article, use the following link:",https://www.wikihow.com/Get-Into-Reading-a-Book,
Scoring Rubric for Writing Skills - wikiHow,Scoring Rubric for Writing Skills,"6, 7, 8, 9, 10, 11, 12",Pedagogy,"Whether you?'re a teacher assessing your students?' writing or an editor offering feedback to a writer, it can be useful to be able to evaluate writing skills. Since different types of writing require different skills, you?'ll need to carefully consider your evaluation criteria. Once you?'ve decided on your approach, put it into action and provide some constructive feedback that the writer can use to improve their skills.","To explore more on this article, use the following link:",https://www.wikihow.com/Evaluate-Writing-Skills,
Common Grammatical Mistakes (And How To Fix Them) - wikiHow,Common Grammatical Mistakes (And How To Fix Them),"6, 7, 8, 9, 10, 11, 12",English,"In this day and age, it?'s easy to check your grammar with a number of different resources. Use your word processor?'s grammar-checking program as you work. Once you finish writing, check your piece using a grammar-checking website or software. In addition, have someone else review your piece, and proofread it yourself after you take a break. By using different resources and knowing the basic grammar rules, you can draft clear, polished writing.","To explore more on this article, use the following link:",https://www.wikihow.com/Check-Grammar,
Than vs. Then Worksheet - wikiHow,Than vs. Then Worksheet,"6, 7, 8, 9, 10, 11, 12",English,"People often misuse the words than and then. It?'s a common mistake, in part because the words are pronounced similarly or in some cases because you simply don't know the difference. However, it is important to know in which situations you would use each word, especially for academic or business writing. As a general rule, use than to indicate comparison and then to indicate time. Practice both usage and pronunciation, and then you'll be using these words better than anyone you know.","To explore more on this article, use the following link:",https://www.wikihow.com/Use-Than-and-Then,
Sentence Fragment Corrections - wikiHow,Sentence Fragment Corrections,"6, 7, 8, 9, 10, 11, 12",English,"Sentence fragments are partial sentences that require additional information to be understood by the reader. Check to make sure your sentences contain a subject, a verb, and a stand-alone thought. If you find you?'re prone to using sentence fragments, you can identify and correct them in your writing. This will make it easier for your audience to read and comprehend your work.
","To explore more on this article, use the following link:",https://www.wikihow.com/Avoid-Sentence-Fragments,
Annotated Speech Outline - wikiHow,Annotated Speech Outline,"6, 7, 8, 9, 10, 11, 12",English,"A speech outline can increase your confidence and help you keep your place so you sound authoritative and in control. As you write your speech outline, focus on how you'll introduce yourself and your topic, the points you'll cover, and the interests of your audience.
","To explore more on this article, use the following link:",https://www.wikihow.com/Write-a-Speech-Outline,
Ways to Outline an Effective Speech - wikiHow,Ways to Outline an Effective Speech,"6, 7, 8, 9, 10, 11, 12",English,"Even accomplished public speakers worry about whether or not their presentation is effective. Fortunately, improving your effectiveness as a public speaker is very simple! To be an effective public speaker, prepare a well-developed speech that fits your audience. Then, practice your delivery prior to giving the speech. Finally, connect with the audience, articulate your words, and use gestures as you give your speech.","To explore more on this article, use the following link:",https://www.wikihow.com/Be-an-Effective-Public-Speaker,
Creative Writing Prompts - wikiHow,Creative Writing Prompts,"6, 7, 8, 9, 10, 11, 12",English,"Creative writing can be challenging but rewarding. You can use it as an escape or just to write something to call your own. Whatever the reason, creative writing is something that you can be proud of. Whether you want to write a short story, a novel, or jot down some poetry, creative writing is much more about sitting down and writing, learning as you go, than waiting for the perfect idea to strike.","To explore more on this article, use the following link:",https://www.wikihow.com/Write-Creatively,
Ways to Analyze Literary Texts - wikiHow,Ways to Analyze Literary Texts,"6, 7, 8, 9, 10, 11, 12",English,"Succeeding in a college or high school English course can be a challenge. This is especially true if English is not your best subject. However, there are some easy, specific things you can do to improve your chances of succeeding. Start off on the right foot, and then develop your readings and writing skills to achieve your goals. If you struggle, or if you want to ensure that you will succeed in your English class, reach out for extra help!","To explore more on this article, use the following link:",https://www.wikihow.com/Succeed-in-English-Class,
Script Writing Basics - wikiHow,Script Writing Basics,"6, 7, 8, 9, 10, 11, 12",English,"Writing a script is a great way to stretch your creativity by making a short film, movie, or TV show. Each script starts with a good premise and plot that takes your characters on a life-changing adventure. With a lot of hard work and correct formatting, you can write your own script in just a few months!","To explore more on this article, use the following link:",https://www.wikihow.com/Write-a-Script,
Find the Slope of a Line Practice Problems - wikiHow,Find the Slope of a Line Practice Problems,"6, 7, 8",Math,"Lines are everywhere in English, whether you are taking Algebra I, Geometry, or Algebra II. If you know how to find the slope of a line, many things become clearer to you, like whether two lines are parallel or perpendicular, where they will intersect, and many other concepts. Finding the slope of a line is actually pretty easy. Read on for some easy steps you can take to learn how to find the slope of a line.","To explore more on this article, use the following link:",https://www.wikihow.com/Find-the-Slope-of-a-Line,
Calculate Ratios Practice Problems - wikiHow,Calculate Ratios Practice Problems,"6, 7, 8",Math,"Ratios are mathematical expressions that compare two or more numbers. They can compare absolute quantities and amounts or can be used to compare portions of a larger whole. Ratios can be calculated and written in several different ways, but the principles guiding the use of ratios are universal to all.","To explore more on this article, use the following link:",https://www.wikihow.com/Calculate-Ratios,
If Then Hypothesis Examples - wikiHow,If Then Hypothesis Examples,"6, 7, 8",Science,"A hypothesis is a description of a pattern in nature or an explanation about some real-world phenomenon that can be tested through observation and experimentation. Many academic fields, from the physical sciences to the life sciences to the social sciences, use hypothesis testing as a means of testing ideas to learn about the world and advance scientific knowledge. Whether you are a beginning scholar or a beginning student taking a class in a science subject, understanding what hypotheses are and being able to generate hypotheses and predictions yourself is very important. These instructions will help get you started.","To explore more on this article, use the following link:",https://www.wikihow.com/Write-a-Hypothesis,
Analysis of Fictional Work - wikiHow,Analysis of Fictional Work,"9, 10, 11, 12",English,"Throughout your academic studies, you?'ll be expected to analyze many texts. Analyzing a text on your own can be very intimidating, but it gets easier once you know how to do it. Before analyzing any text, you?'ll need to thoroughly study it. Then, tailor your analysis to fit either fiction or nonfiction. Finally, you can write an analysis passage, if necessary.","To explore more on this article, use the following link:",https://www.wikihow.com/Analyze-Texts,
Poem Annotation - wikiHow,Poem Annotation,"9, 10, 11, 12",English,"Annotating text is a purposeful note taking system. It encourages close reading and literary analysis. When you go back to review a book or article, your annotations should help you find important information and jog your memory about relevant information. Your annotation system can be highly personalized, but you should establish your method before you start to read.
","To explore more on this article, use the following link:",https://www.wikihow.com/Annotate,
Convert Degrees to Radians Practice Problems - wikiHow,Convert Degrees to Radians Practice Problems,"9, 10, 11, 12",Math,"Degrees and radians are two units for measuring angles. A circle contains 360 degrees, which is the equivalent of 2? radians, so 360° and 2? radians represent the numerical values for going ""once around"" a circle.[2] Sound confusing? Don't worry, you can easily convert degrees to radians, or from radians to degrees, in just a few easy steps.","To explore more on this article, use the following link:",https://www.wikihow.com/Convert-Degrees-to-Radians,
What to Include in a Lab Write Up - wikiHow,What to Include in a Lab Write Up,"9, 10, 11, 12",Science,"Depending on the expectations of your program, the preferences of your teacher or adviser, and the level of education you are currently at, there are many variations of science lab reports you might use. Generally speaking, your science lab report should have a title, abstract, introduction, a list of materials used in your experiment, a description of methods used, your results, discussion with regard to your results, and a list of literature cited.This may seem like an overwhelming amount of work, but by adhering to a few guidelines and putting in the necessary effort, you'll soon have a report your instructor will love ","To explore more on this article, use the following link:",https://www.wikihow.com/Write-a-Science-Lab-Report,
What to Include in a Rhetorical Analysis - wikiHow,What to Include in a Rhetorical Analysis,"9, 10, 11, 12",English,"A rhetorical analysis can be written about other texts, television shows, films, collections of artwork, or a variety of other communicative mediums that attempt to make a statement to an intended audience. In order to write a rhetorical analysis, you need to be able to determine how the creator of the original work attempts to make his or her argument. You can also include information about whether or not that argument is successful. To learn more about the right way to write a rhetorical analysis, continue reading.
","To explore more on this article, use the following link:",https://www.wikihow.com/Write-a-Rhetorical-Analysis,
Reading Comprehension Exercises - wikiHow,Reading Comprehension Exercises,"1, 2, 3, 4, 5",English,"Struggling with reading comprehension can feel overwhelming. However, improving your reading comprehension is not only relatively easy, it can also be downright fun! By making changes to where and how you read, while working on developing your reading skills, you can significantly improve your reading comprehension and make reading a much more fun experience.
","To explore more on this article, use the following link:",https://www.wikihow.com/Improve-Your-Reading-Comprehension,
POV Worksheet - wikiHow,POV Worksheet,"1, 2, 3, 4, 5",English,"Point of view helps readers understand the perspective of a story or text. Most students learn this lesson in elementary school or between the ages of 7 to 10, but it may also come up later. When teaching students point of view, make sure they understand the different types of point of view as well as how it relates to the perspective of the characters. Give them plenty of practice with reading and writing activities. Afterwards, you can reinforce the lesson with more creative assignments. Not only will your students learn point of view, but they?'ll have fun doing it!
","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Point-of-View,
Add Fractions Practice Problems - wikiHow,Add Fractions Practice Problems,"1, 2, 3, 4, 5",Math,Adding fractions is a very handy skill to know. Not only is it an important part of school ?' from elementary school all the way up to high school ?' it's also a really practical skill to know. Read on for more information about adding fractions. You'll be spinning with knowledge in just a few minutes.,"To explore more on this article, use the following link:",https://www.wikihow.com/Add-Fractions,
How to Teach a Child to Write - wikiHow,How to Teach a Child to Write,"1, 2",English,"When your kid is first learning to write, it can be an exciting and frustrating time. However, if you don't try too much too soon, it can be fun for you and your kid. Take some time to help your child build muscles, then move on to gripping a crayon or a marker. You can also work on fun letter games to get your child interested, and then work with marker and paper.
","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-a-Child-to-Write,
How to Help Fidgety Kids Sit Still - wikiHow,How to Help Fidgety Kids Sit Still,All,Classroom Behavior,"A bit of fidgeting is normal, especially in kids and teenagers. If your child fidgets a lot, you may be wondering how to help them sit calmly and focus. If you notice a certain child fidgeting a lot, here is how to handle it.","To explore more on this article, use the following link:",https://www.wikihow.com/Help-Fidgety-Kids-Sit-Still,
How to Teach Self Esteem - wikiHow,How to Teach Self Esteem,All,Classroom Behavior,"Developing self-esteem is a process that occurs during every stage of life. For children, feeling capable is the foundation of healthy self-esteem. If you have kids, help them learn new skills, offer genuine praise, and commend hard work instead of fixed qualities. At any age, cultivating a positive mindset and practicing self-care are key components of self-esteem. Cover these topics when helping a loved one in need, and remind them that they can always come to you without fear of judgment.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Self-Esteem,
How to Teach Children (Age 2 to 6) - wikiHow,How to Teach Children (Age 2 to 6),"2, 3, 4, 5, 6,",Early Education,"As kids make the transition from toddlerhood to childhood, they grow at a remarkable rate. Their cognitive and language skills develop dramatically during these years, as they transition from simple ""why?"" questions to enjoying jokes, riddles, and telling stories that follow a sequential order. During these years, children also have rich imaginations, strong fears, and love to play, so it's important to employ educational strategies that are both adapted to their current developmental stage while also challenging them to grow. Whatever your role in a child's life (teacher, parent, or another caregiver), you can make learning productive and enjoyable for both of you.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Children-%28Age-2-to-6%29,
How to Teach Children to Become Resilient - wikiHow Mom,How to Teach Children to Become Resilient,"1, 2, 3, 4, 5",Early Education,"Resilience is an important skill that allows a person to deal with challenges and frustrations. Children need to learn resilience so they can react and cope to life?'s disappointments and difficulties in healthier ways. Teach your child to be resilient by helping them face frustration in their life, learn patience, and develop problem-solving skills.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Children-to-Become-Resilient,
How to Teach Kids to Tell Time - wikiHow,How to Teach Kids to Tell Time,"1, 2, 3, 4, 5",Early Education,"Telling time is a tricky business, especially for kids. But as a parent or teacher, you can make learning how to tell time a fun activity by making clocks with your kid. Before you begin making your clocks, make sure your kid knows the basics. Once the clocks are made, you can start teaching them the different blocks of time.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Kids-to-Tell-Time,
How to Teach Kids the Alphabet - wikiHow,How to Teach Kids the Alphabet,"1, 2",Early Education,"Learning the alphabet is one of the most important steps in a child?'s development, as it lays the groundwork for learning to read and write. While it might seem like a difficult thing to teach, teaching the alphabet begins with making kids excited about words and letters. By reading, singing, and playing games with a child, you can make them curious about the alphabet and stoke their desire to learn more. Just make sure to keep things fun for both of you!","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Kids-the-Alphabet,
How to Help Kids Manage ADHD with Yoga - wikiHow,How to Help Kids Manage ADHD with Yoga,"1, 2",Classroom Behavior,"Attention Deficit Hyperactivity Disorder (ADHD) is a condition that appears in early childhood, with signs and symptoms that usually appear before the age of seven. If your child has ADHD or you work with children with ADHD, you may consider trying alternative treatments like yoga. Yoga has been shown in studies to be a promising therapy for children with ADHD.[2] You can do yoga at home with children with ADHD or get professional yoga instruction. You should then create a yoga routine so the child can reap the benefits of this practice.","To explore more on this article, use the following link:",https://www.wikihow.com/Help-Kids-Manage-ADHD-with-Yoga,
How to Teach Kids Patience - wikiHow,How to Teach Kids Patience,"1, 2",Classroom Behavior,"Children do not automatically know how to be patient. Teaching patience is an ongoing task, but isn?'t as hard as you may think. To teach your child patience, practice it every day, explain why they have to wait, teach them ways to occupy themselves, and model patient behavior.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Kids-Patience,
How to Teach Kids to Accept Responsibility for Their Actions - wikiHow,How to Teach Kids to Accept Responsibility for Their Actions,"1, 2",Classroom Behavior,"Kids have a natural tendency to want to avoid taking responsibility for the actions they've taken. No one likes to get in trouble, particularly kids. However, you can teach your child to own up to things they've done. The first step is to help them realize that all actions have effects, both good and bad. Next, you need to help your children learn how to be accountable for what they've done. Finally, you need to make sure your own behavior is encouraging your children to take responsibility.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Kids-to-Accept-Responsibility-for-Their-Actions,
How to Teach Respect - wikiHow,How to Teach Respect,All,Classroom Behavior,"Respect is one of the most important, fundamental skills a child can ever learn. A sense of respect is vital to succeeding in school, holding down a job, and having adult relationships. The number one place that children learn respect is in the home, so it's a parent's responsibility to teach these skills early and consistently.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Respect,
How to Teach Kids to Learn from Failure - wikiHow,How to Teach Kids to Learn from Failure,"1, 2",Critical Thinking,"You?'ve probably learned that failure is a necessary ingredient for success. Yet, many parents, teachers, and coaches often involuntarily send the message to kids that failure is the enemy. With some children, such messages drive them to work harder. With others, it can result in them never trying anything new or challenging because they fear failing. Help your kids acknowledge the value of failure by reframing how you view it, promoting autonomy, and developing the skills to bounce back after setbacks.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Kids-to-Learn-from-Failure,
How to Teach Kids Daily Journal Writing - wikiHow,How to Teach Kids Daily Journal Writing,"3, 4, 5, 6, 7, 8",English,"Journaling can be a useful activity for children. It gives them a private venue to keep a daily record of their thoughts, feelings, and ideas, and can motivate children to express themselves more than they otherwise would. However, children can have short attention spans, and may quickly tire of journaling or run out of ideas to write about. If you?'d like your children to develop a habit of daily journal writing, plan to provide them with the needed supplies and encourage them to write through prompts and other fun writing exercises.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Kids-Daily-Journal-Writing,
